PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
1992_ALABAMA,ALABAMA,1992,,2678885,304177,1659028,715680,2653798,1481703,735036,,174053,8224,55460,57948,58025,41167,471564,196386,676174,208.3278759,252.1875224,207.9635172,
1992_ALASKA,ALASKA,1992,,1049591,106780,720711,222100,972488,498362,350902,,37451,2371,10152,9748,8789,6714,79117,30847,112335,,,,258.8597125
1992_ARIZONA,ARIZONA,1992,,3258079,297888,1369815,1590376,3401580,1435908,1007732,,609114,2544,53497,55433,49081,37410,437127,175210,614881,215.253932,265.3662778,206.2127155,262.1698947
1992_ARKANSAS,ARKANSAS,1992,,1711959,178571,958785,574603,1743022,964323,483488,,145212,808,33511,34632,36011,27651,281338,123113,405259,210.2060281,256.3120904,208.6344584,264.6196647
1992_CALIFORNIA,CALIFORNIA,1992,,26260025,2072470,16546514,7641041,27138832,14358922,8520926,,2044688,59067,431763,418418,363296,270675,3286034,1372011,4717112,208.3989609,260.8922468,196.7644141,
1992_COLORADO,COLORADO,1992,,3185173,163253,1307986,1713934,3264826,1642466,1035970,,364760,7410,47588,50648,45025,34533,394904,160299,562613,221.0234291,272.3984329,213.4808903,266.4196869
1992_CONNECTICUT,CONNECTICUT,1992,,3834302,143542,1342539,2348221,3721338,2148041,1142600,,48542,5731,41319,38058,33691,28366,304284,126917,436932,226.79848,273.7393446,222.4175986,264.7139043
1992_DELAWARE,DELAWARE,1992,,645233,45945,420942,178346,638784,372722,194915,,30595,463,8025,8272,8012,6129,67495,28338,96296,217.8999724,262.8685854,206.3890517,261.5779209
1992_DISTRICT_OF_COLUMBIA,DISTRICT_OF_COLUMBIA,1992,,709480,64749,0,644731,742893,329160,316679,,47272,4818,6667,5832,5000,3433,47009,18173,70000,192.6005531,234.9246213,178.5576117,265.976765
1992_FLORIDA,FLORIDA,1992,,11506299,788420,5683949,5033930,11305642,5166374,3410440,,1667826,31464,161701,164416,142372,100835,1276685,511557,1819706,213.6897512,259.9088482,204.8826063,262.1189861
1992_GEORGIA,GEORGIA,1992,,5536901,398701,2798674,2339526,5535942,3043984,1559059,,526644,3303,100745,99648,92374,63646,787599,315539,1106441,215.5949062,259.3594336,206.8441747,
1992_HAWAII,HAWAII,1992,,996809,71273,903443,22093,1040121,536115,291376,,126212,525,14440,13754,11750,9051,107242,43882,151649,214.0566661,257.4108874,200.8802722,
1992_IDAHO,IDAHO,1992,,859329,69138,531912,258279,886161,473505,246320,,111353,1231,16018,18607,18880,14593,146573,66541,214345,221.5625345,275.0902941,,
1992_ILLINOIS,ILLINOIS,1992,,9748650,597077,3073178,6078395,9850560,5010400,3148849,,727858,39682,139237,133120,134317,106475,1111167,495562,1646411,,,,
1992_INDIANA,INDIANA,1992,,5060274,257044,2578149,2225081,5182754,2598925,1478639,,536404,3225,66065,73760,75477,62234,601890,278161,883276,221.0377425,270.0989439,219.7632575,
1992_IOWA,IOWA,1992,,2663934,125665,1176205,1362064,2795774,1446478,800570,,222086,4592,36428,37692,36892,33057,299253,138907,442752,229.8840779,283.360009,222.852939,
1992_KANSAS,KANSAS,1992,,2245348,121625,903199,1220524,2234915,1165749,708572,,157705,2391,34826,36013,33288,26706,284143,120960,407494,,,,
