"_id._bsontype","_id.id","","state","mn_earn_wne_p10.2006","mn_earn_wne_p10.2007","mn_earn_wne_p10.2008","mn_earn_wne_p10.2009","mn_earn_wne_p10.2010","mn_earn_wne_p10.2011","mn_earn_wne_p10.2012","mn_earn_wne_p10.2013","mn_earn_wne_p10.2014","mn_earn_wne_p10.2015","mn_earn_wne_p10.2016","mn_earn_wne_p9.2006","mn_earn_wne_p9.2007","mn_earn_wne_p9.2008","mn_earn_wne_p9.2009","mn_earn_wne_p9.2010","mn_earn_wne_p9.2011","mn_earn_wne_p9.2012","mn_earn_wne_p9.2013","mn_earn_wne_p9.2014","mn_earn_wne_p9.2015","mn_earn_wne_p9.2016","mn_earn_wne_p8.2006","mn_earn_wne_p8.2007","mn_earn_wne_p8.2008","mn_earn_wne_p8.2009","mn_earn_wne_p8.2010","mn_earn_wne_p8.2011","mn_earn_wne_p8.2012","mn_earn_wne_p8.2013","mn_earn_wne_p8.2014","mn_earn_wne_p8.2015","mn_earn_wne_p8.2016","mn_earn_wne_p7.2006","mn_earn_wne_p7.2007","mn_earn_wne_p7.2008","mn_earn_wne_p7.2009","mn_earn_wne_p7.2010","mn_earn_wne_p7.2011","mn_earn_wne_p7.2012","mn_earn_wne_p7.2013","mn_earn_wne_p7.2014","mn_earn_wne_p7.2015","mn_earn_wne_p7.2016","mn_earn_wne_p6.2006","mn_earn_wne_p6.2007","mn_earn_wne_p6.2008","mn_earn_wne_p6.2009","mn_earn_wne_p6.2010","mn_earn_wne_p6.2011","mn_earn_wne_p6.2012","mn_earn_wne_p6.2013","mn_earn_wne_p6.2014","mn_earn_wne_p6.2015","mn_earn_wne_p6.2016","mn_earn_wne_male0_p10.2006","mn_earn_wne_male0_p10.2007","mn_earn_wne_male0_p10.2008","mn_earn_wne_male0_p10.2009","mn_earn_wne_male0_p10.2010","mn_earn_wne_male0_p10.2011","mn_earn_wne_male0_p10.2012","mn_earn_wne_male0_p10.2013","mn_earn_wne_male0_p10.2014","mn_earn_wne_male0_p10.2015","mn_earn_wne_male0_p10.2016","mn_earn_wne_male1_p10.2006","mn_earn_wne_male1_p10.2007","mn_earn_wne_male1_p10.2008","mn_earn_wne_male1_p10.2009","mn_earn_wne_male1_p10.2010","mn_earn_wne_male1_p10.2011","mn_earn_wne_male1_p10.2012","mn_earn_wne_male1_p10.2013","mn_earn_wne_male1_p10.2014","mn_earn_wne_male1_p10.2015","mn_earn_wne_male1_p10.2016","mn_earn_wne_indep0_p10.2006","mn_earn_wne_indep0_p10.2007","mn_earn_wne_indep0_p10.2008","mn_earn_wne_indep0_p10.2009","mn_earn_wne_indep0_p10.2010","mn_earn_wne_indep0_p10.2011","mn_earn_wne_indep0_p10.2012","mn_earn_wne_indep0_p10.2013","mn_earn_wne_indep0_p10.2014","mn_earn_wne_indep0_p10.2015","mn_earn_wne_indep0_p10.2016","mn_earn_wne_indep1_p10.2006","mn_earn_wne_indep1_p10.2007","mn_earn_wne_indep1_p10.2008","mn_earn_wne_indep1_p10.2009","mn_earn_wne_indep1_p10.2010","mn_earn_wne_indep1_p10.2011","mn_earn_wne_indep1_p10.2012","mn_earn_wne_indep1_p10.2013","mn_earn_wne_indep1_p10.2014","mn_earn_wne_indep1_p10.2015","mn_earn_wne_indep1_p10.2016","mn_earn_wne_inc1_p10.2006","mn_earn_wne_inc1_p10.2007","mn_earn_wne_inc1_p10.2008","mn_earn_wne_inc1_p10.2009","mn_earn_wne_inc1_p10.2010","mn_earn_wne_inc1_p10.2011","mn_earn_wne_inc1_p10.2012","mn_earn_wne_inc1_p10.2013","mn_earn_wne_inc1_p10.2014","mn_earn_wne_inc1_p10.2015","mn_earn_wne_inc1_p10.2016","mn_earn_wne_inc2_p10.2006","mn_earn_wne_inc2_p10.2007","mn_earn_wne_inc2_p10.2008","mn_earn_wne_inc2_p10.2009","mn_earn_wne_inc2_p10.2010","mn_earn_wne_inc2_p10.2011","mn_earn_wne_inc2_p10.2012","mn_earn_wne_inc2_p10.2013","mn_earn_wne_inc2_p10.2014","mn_earn_wne_inc2_p10.2015","mn_earn_wne_inc2_p10.2016","mn_earn_wne_inc3_p10.2006","mn_earn_wne_inc3_p10.2007","mn_earn_wne_inc3_p10.2008","mn_earn_wne_inc3_p10.2009","mn_earn_wne_inc3_p10.2010","mn_earn_wne_inc3_p10.2011","mn_earn_wne_inc3_p10.2012","mn_earn_wne_inc3_p10.2013","mn_earn_wne_inc3_p10.2014","mn_earn_wne_inc3_p10.2015","mn_earn_wne_inc3_p10.2016","gt_25k_p10.2006","gt_25k_p10.2007","gt_25k_p10.2008","gt_25k_p10.2009","gt_25k_p10.2010","gt_25k_p10.2011","gt_25k_p10.2012","gt_25k_p10.2013","gt_25k_p10.2014","gt_25k_p10.2015","gt_25k_p10.2016","gt_25k_p9.2006","gt_25k_p9.2007","gt_25k_p9.2008","gt_25k_p9.2009","gt_25k_p9.2010","gt_25k_p9.2011","gt_25k_p9.2012","gt_25k_p9.2013","gt_25k_p9.2014","gt_25k_p9.2015","gt_25k_p9.2016","gt_25k_p8.2006","gt_25k_p8.2007","gt_25k_p8.2008","gt_25k_p8.2009","gt_25k_p8.2010","gt_25k_p8.2011","gt_25k_p8.2012","gt_25k_p8.2013","gt_25k_p8.2014","gt_25k_p8.2015","gt_25k_p8.2016","gt_25k_p7.2006","gt_25k_p7.2007","gt_25k_p7.2008","gt_25k_p7.2009","gt_25k_p7.2010","gt_25k_p7.2011","gt_25k_p7.2012","gt_25k_p7.2013","gt_25k_p7.2014","gt_25k_p7.2015","gt_25k_p7.2016","gt_25k_p6.2006","gt_25k_p6.2007","gt_25k_p6.2008","gt_25k_p6.2009","gt_25k_p6.2010","gt_25k_p6.2011","gt_25k_p6.2012","gt_25k_p6.2013","gt_25k_p6.2014","gt_25k_p6.2015","gt_25k_p6.2016","earnings_gap.2006","earnings_gap.2007","earnings_gap.2008","earnings_gap.2009","earnings_gap.2010","earnings_gap.2011","earnings_gap.2012","earnings_gap.2013","earnings_gap.2014","earnings_gap.2015","earnings_gap.2016","state_abbrev","name","path"
"ObjectID","{""type"":""Buffer"",""data"":[92,155,230,38,17,220,119,0,20,220,147,92]}",,"AK","NA",41046.27,"NA",40521.41,"NA",43338.27,43433.97,44828.7,47282.86,"NA","NA",39146.95,"NA",39107.93,"NA",41822.38,"NA","NA","NA","NA","NA","NA","NA",37840.98,"NA",39575.36,"NA",41051.05,42000.35,42200.97,42662.96,"NA","NA",35356.29,"NA",37531.32,"NA",38649.77,"NA","NA","NA","NA","NA","NA","NA",36345.62,"NA",36592.01,"NA",37338.2,36881.06,37175.2,38319.85,"NA","NA","NA",31892.7,"NA",30242.65,"NA",36181.54,33647.77,35912.75,39441.23,"NA","NA","NA",47903.82,"NA",43927.46,"NA",48532.22,45717.93,53060.83,55426.68,"NA","NA","NA",38621.6,"NA",38701.89,"NA",43071.66,42419.47,46270.39,48193.32,"NA","NA","NA",36603.24,"NA",37336.18,"NA",42385.78,38306.02,43386.3,46440.94,"NA","NA","NA",34072.52,"NA",31997.24,"NA",37388.31,35880.12,38621.23,41873.32,"NA","NA","NA",40986.79,"NA",36360.25,"NA",43551.68,43542.6,43899.88,46823.46,"NA","NA","NA",44786.94,"NA",41234.1,"NA",46084.44,47475.64,48094.95,53240.27,"NA","NA","NA",0.6695523,"NA",0.6563765,"NA",0.6902403,0.6847886,0.6953254,"NA","NA","NA",0.6682531,"NA",0.6571167,"NA",0.6757331,"NA","NA","NA","NA","NA","NA","NA",0.6507232,"NA",0.6540933,"NA",0.6705046,0.6749626,0.6740007,"NA","NA","NA",0.6304527,"NA",0.6366901,"NA",0.6508304,"NA","NA","NA","NA","NA","NA","NA",0.6384822,"NA",0.6266531,"NA",0.6369892,0.6316819,0.6310707,"NA","NA","NA","NA",16011.12,"NA",13684.81,"NA",12350.68,12070.17,17148.08,15985.45,"NA","NA","AK","Alaska","alaska"
"ObjectID","{""type"":""Buffer"",""data"":[92,155,230,38,17,220,119,0,20,220,147,93]}",,"AL","NA",39107.63,"NA",38234.16,"NA",36942.47,35966.88,36669.89,38403.93,"NA","NA",37094.82,"NA",37098.76,"NA",35557.94,"NA","NA","NA","NA","NA","NA","NA",35461.59,"NA",34229.63,"NA",32657.18,32886.57,33880.5,35467.12,"NA","NA",33356.35,"NA",32798.91,"NA",31113.55,"NA","NA","NA","NA","NA","NA","NA",31070.06,"NA",29507.1,"NA",28922.38,29367.89,30626.52,31510.51,"NA","NA","NA",33517.09,"NA",33630.78,"NA",31700.67,30698.93,31150.39,33092.13,"NA","NA","NA",46750.55,"NA",44277.48,"NA",43207.25,42696.26,44420.27,46544.95,"NA","NA","NA",39433.69,"NA",38057.89,"NA",36972.52,36378.22,37308.87,39158.31,"NA","NA","NA",37499.07,"NA",36874.97,"NA",35206.14,33892.02,34548.32,36675.76,"NA","NA","NA",20590.09,"NA",21838.14,"NA",20914.96,30840.04,31355.07,32470.62,"NA","NA","NA",31560.84,"NA",32481.55,"NA",31495.62,30012.04,31853.57,41758.75,"NA","NA","NA",48300.7,"NA",46848.3,"NA",45585.88,45707.91,47347.09,49517.36,"NA","NA","NA",0.6580729,"NA",0.6402736,"NA",0.6196275,0.6030988,0.6102418,"NA","NA","NA",0.6390731,"NA",0.6360375,"NA",0.6024657,"NA","NA","NA","NA","NA","NA","NA",0.6203923,"NA",0.5884815,"NA",0.5562182,0.5609089,0.5799427,"NA","NA","NA",0.5945267,"NA",0.5729822,"NA",0.5344961,"NA","NA","NA","NA","NA","NA","NA",0.548359,"NA",0.5123019,"NA",0.4951704,0.5025958,0.5298493,"NA","NA","NA","NA",13233.46,"NA",10646.7,"NA",11506.58,11997.34,13269.88,13452.82,"NA","NA","AL","Alabama","alabama"
"ObjectID","{""type"":""Buffer"",""data"":[92,155,230,38,17,220,119,0,20,220,147,94]}",,"AR","NA",36781.39,"NA",36514.72,"NA",35842.3,35510.57,35599.93,36816.93,"NA","NA",35104.33,"NA",34954.74,"NA",34550.58,"NA","NA","NA","NA","NA","NA","NA",33422.85,"NA",33245.46,"NA",31741.62,31984.07,32732.69,34372.07,"NA","NA",31542.62,"NA",31531.93,"NA",30281.21,"NA","NA","NA","NA","NA","NA","NA",29657.9,"NA",28817.84,"NA",28481.82,29143.36,29418.89,30229.86,"NA","NA","NA",31018.01,"NA",30746.67,"NA",30277.88,30105.5,29817.39,31355.18,"NA","NA","NA",43448.02,"NA",43075.55,"NA",42719.95,41847.78,42106.64,43477.02,"NA","NA","NA",35745.17,"NA",36422.93,"NA",35516.64,35055.22,35461.21,37603.51,"NA","NA","NA",33730.49,"NA",32607.44,"NA",31636.9,31714.79,32135.96,33327.82,"NA","NA","NA",22837.66,"NA",24102.69,"NA",21752.01,29781.75,29726.17,31280.43,"NA","NA","NA",32271.87,"NA",31973.35,"NA",31556.31,29222.55,29636.95,35043.49,"NA","NA","NA",41994.96,"NA",43768.32,"NA",45026.31,44430.09,45605.76,46956.41,"NA","NA","NA",0.6315667,"NA",0.6181771,"NA",0.6100287,0.6054199,0.6017959,"NA","NA","NA",0.6141071,"NA",0.6023793,"NA",0.5941663,"NA","NA","NA","NA","NA","NA","NA",0.5881903,"NA",0.5775809,"NA",0.5487566,0.5564178,0.5684927,"NA","NA","NA",0.5644105,"NA",0.5562212,"NA",0.5262802,"NA","NA","NA","NA","NA","NA","NA",0.5239953,"NA",0.5021231,"NA",0.4900337,0.5018519,0.5045556,"NA","NA","NA","NA",12430,"NA",12328.89,"NA",12442.06,11742.28,12289.25,12121.83,"NA","NA","AR","Arkansas","arkansas"
"ObjectID","{""type"":""Buffer"",""data"":[92,155,230,38,17,220,119,0,20,220,147,95]}",,"AS","NA",23700,"NA",23900,"NA",22600,22600,23600,24500,"NA","NA",23500,"NA",22700,"NA",21800,"NA","NA","NA","NA","NA","NA","NA",21300,"NA",20600,"NA",19900,19200,19400,20300,"NA","NA",20400,"NA",19400,"NA",18400,"NA","NA","NA","NA","NA","NA","NA",19100,"NA",17500,"NA",16100,16200,16700,17500,"NA","NA","NA",21400,"NA",21500,"NA",20600,20500,20300,20900,"NA","NA","NA",26900,"NA",27200,"NA",24900,24800,26900,28500,"NA","NA","NA",22500,"NA",22400,"NA",22100,22200,23600,24700,"NA","NA","NA",30300,"NA",29800,"NA",24500,25000,23300,23100,"NA","NA","NA","NA","NA","NA","NA","NA",22000,22900,24400,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.3551637,"NA",0.4007708,"NA",0.3501484,0.376,0.398,"NA","NA","NA",0.3435898,"NA",0.3632959,"NA",0.3497823,"NA","NA","NA","NA","NA","NA","NA",0.3518519,"NA",0.3153285,"NA",0.2752137,0.271,0.279,"NA","NA","NA",0.3267716,"NA",0.2819767,"NA",0.2520593,"NA","NA","NA","NA","NA","NA","NA",0.2666667,"NA",0.244186,"NA",0.1996997,0.209,0.235,"NA","NA","NA","NA",5500,"NA",5700,"NA",4300,4300,6600,7600,"NA","NA","AS",,
"ObjectID","{""type"":""Buffer"",""data"":[92,155,230,38,17,220,119,0,20,220,147,96]}",,"AZ","NA",50320.27,"NA",49107.47,"NA",48023.68,47973.8,46417.07,41723.26,"NA","NA",49115.61,"NA",48197.43,"NA",46555.65,"NA","NA","NA","NA","NA","NA","NA",47196.52,"NA",45464.83,"NA",43659.82,41551.47,39875.98,37933.39,"NA","NA",45472.4,"NA",44269.53,"NA",41973.38,"NA","NA","NA","NA","NA","NA","NA",42717.94,"NA",40650.8,"NA",36452.49,35539.31,34599.05,33399.17,"NA","NA","NA",43801.82,"NA",43267.39,"NA",41229.11,41162.08,39859.99,34833.55,"NA","NA","NA",53743.96,"NA",53978.95,"NA",53779.39,53607.46,52870.95,47733.81,"NA","NA","NA",46966.98,"NA",44848.41,"NA",43475.71,44048.29,42419.02,43924.44,"NA","NA","NA",48212.83,"NA",49973.98,"NA",49808.9,49053.04,47499.97,39369.59,"NA","NA","NA",35372.18,"NA",36593.8,"NA",33534.64,37370.91,36136.68,34761.69,"NA","NA","NA",47736.47,"NA",48602.22,"NA",47431.85,47380.25,46606.93,43109.95,"NA","NA","NA",61059.2,"NA",62893.23,"NA",63084.1,62520.57,62817.44,53189.45,"NA","NA","NA",0.7423223,"NA",0.7273501,"NA",0.7200356,0.7249095,0.7067668,"NA","NA","NA",0.7394605,"NA",0.7291052,"NA",0.711641,"NA","NA","NA","NA","NA","NA","NA",0.7297192,"NA",0.7065425,"NA",0.6922609,0.6701555,0.6475053,"NA","NA","NA",0.7200834,"NA",0.7042482,"NA",0.6786213,"NA","NA","NA","NA","NA","NA","NA",0.6976961,"NA",0.6691394,"NA",0.6107206,0.5981969,0.5814635,"NA","NA","NA","NA",9942.137,"NA",10711.55,"NA",12550.28,12445.38,13010.96,12900.26,"NA","NA","AZ","Arizona","arizona"
"ObjectID","{""type"":""Buffer"",""data"":[92,155,230,38,17,220,119,0,20,220,147,97]}",,"CA","NA",47510.34,"NA",45210.36,"NA",43893.35,43500.92,44035.3,45586.24,"NA","NA",45499.49,"NA",43811.48,"NA",41860.99,"NA","NA","NA","NA","NA","NA","NA",42127.59,"NA",40398.85,"NA",38279.32,37785.99,38423.18,40189.66,"NA","NA",39822.51,"NA",38857.53,"NA",36141.95,"NA","NA","NA","NA","NA","NA","NA",36902.22,"NA",34696.4,"NA",32203.64,32279.36,32696.62,33344.18,"NA","NA","NA",40546.55,"NA",39553.39,"NA",38653.5,38002.27,38401.1,41023.46,"NA","NA","NA",53257.95,"NA",50158.46,"NA",49263.71,49311.96,49930.29,52772.99,"NA","NA","NA",50384.16,"NA",47175.15,"NA",45336.91,44939.21,45193.49,47041.42,"NA","NA","NA",42564.11,"NA",41597.98,"NA",39561.61,38841.88,39509.45,42792.27,"NA","NA","NA",25070.48,"NA",30506.95,"NA",24284.6,37675.59,38349.35,40632.88,"NA","NA","NA",40042.39,"NA",41216.82,"NA",35083.21,36383.77,34878.23,42119.49,"NA","NA","NA",58708.8,"NA",55528.07,"NA",54168.34,55323.5,56162.3,58044.75,"NA","NA","NA",0.6968067,"NA",0.6702889,"NA",0.6525802,0.6475137,0.652577,"NA","NA","NA",0.6869686,"NA",0.6673072,"NA",0.6400968,"NA","NA","NA","NA","NA","NA","NA",0.6593725,"NA",0.6315655,"NA",0.6012267,0.5958196,0.6036474,"NA","NA","NA",0.6420833,"NA",0.6236609,"NA",0.5802299,"NA","NA","NA","NA","NA","NA","NA",0.6086745,"NA",0.5660169,"NA",0.5236904,0.5221468,0.5278428,"NA","NA","NA","NA",12711.39,"NA",10605.07,"NA",10610.21,11309.69,11529.19,11749.53,"NA","NA","CA","California","california"
"ObjectID","{""type"":""Buffer"",""data"":[92,155,230,38,17,220,119,0,20,220,147,98]}",,"CO","NA",44019.94,"NA",42274.38,"NA",41602.88,41425.52,42208.44,44394.38,"NA","NA",42119.59,"NA",41277.62,"NA",39893.88,"NA","NA","NA","NA","NA","NA","NA",40331.35,"NA",38309.74,"NA",37678.3,37445.89,37594.97,39257.85,"NA","NA",38231.18,"NA",37140.03,"NA",35915.64,"NA","NA","NA","NA","NA","NA","NA",36044.04,"NA",34363.65,"NA",32980.69,32931.94,33233.42,33910.25,"NA","NA","NA",35703.41,"NA",35104.11,"NA",34530.14,34336.79,34741.54,37540.54,"NA","NA","NA",48768.57,"NA",46552.59,"NA",46666.08,46765.68,48644.41,51477.72,"NA","NA","NA",45592.1,"NA",43400.68,"NA",42393.73,42403.8,42908.11,45228.61,"NA","NA","NA",39748.84,"NA",38865.3,"NA",38360.39,38619.47,40090.11,42895.6,"NA","NA","NA",32165.71,"NA",34312.59,"NA",32626.26,34773.17,35121.45,36909.94,"NA","NA","NA",42036.52,"NA",41409.59,"NA",40337.18,41050.84,41933.77,44816.84,"NA","NA","NA",50694.92,"NA",48117.79,"NA",48285.37,49495.83,51792.87,53873.75,"NA","NA","NA",0.7027168,"NA",0.6788226,"NA",0.6673067,0.6621098,0.6680174,"NA","NA","NA",0.6939499,"NA",0.6803684,"NA",0.656134,"NA","NA","NA","NA","NA","NA","NA",0.6789005,"NA",0.6456516,"NA",0.6249334,0.6222374,0.6245902,"NA","NA","NA",0.6630486,"NA",0.6442522,"NA",0.6060255,"NA","NA","NA","NA","NA","NA","NA",0.6398041,"NA",0.5936528,"NA",0.5659605,0.5635468,0.5690651,"NA","NA","NA","NA",13065.16,"NA",11448.48,"NA",12135.93,12428.89,13902.88,13937.18,"NA","NA","CO","Colorado","colorado"
"ObjectID","{""type"":""Buffer"",""data"":[92,155,230,38,17,220,119,0,20,220,147,99]}",,"CT","NA",51744.4,"NA",49651.99,"NA",48435.99,48326.29,49127.36,51055.97,"NA","NA",47458.63,"NA",48024.07,"NA",45874.03,"NA","NA","NA","NA","NA","NA","NA",46088.23,"NA",43957.21,"NA",42592.09,42762.59,43134.32,44320.36,"NA","NA",42008.45,"NA",42137.5,"NA",40415.32,"NA","NA","NA","NA","NA","NA","NA",39701.8,"NA",38197.66,"NA",36646.04,36305.71,36427.73,37440.09,"NA","NA","NA",42345.14,"NA",41909.92,"NA",40436.39,41047,41607.64,44743.93,"NA","NA","NA",56001.63,"NA",52636.9,"NA",51592.19,54619.68,54084.63,59312.6,"NA","NA","NA",52115.99,"NA",47610.87,"NA",49606.53,49201.8,49627.09,52986.48,"NA","NA","NA",42016.25,"NA",39579.67,"NA",38473.14,38589.08,40271.71,43469.33,"NA","NA","NA",31893.05,"NA",31091.65,"NA",29275.38,36963.03,38102.38,39556.36,"NA","NA","NA",46783.11,"NA",43461.99,"NA",41821.32,43932.09,44726.81,48538.86,"NA","NA","NA",60128.93,"NA",58288.84,"NA",56458.53,57573.8,58234.82,60595.73,"NA","NA","NA",0.7670965,"NA",0.7380542,"NA",0.7296984,0.7250801,0.7280875,"NA","NA","NA",0.7473532,"NA",0.7392939,"NA",0.7129011,"NA","NA","NA","NA","NA","NA","NA",0.7365572,"NA",0.7068548,"NA",0.6808926,0.6859724,0.6958525,"NA","NA","NA",0.7116836,"NA",0.7046979,"NA",0.6641783,"NA","NA","NA","NA","NA","NA","NA",0.6858042,"NA",0.6460172,"NA",0.6298472,0.6264524,0.627896,"NA","NA","NA","NA",13656.48,"NA",10726.98,"NA",11155.8,13572.68,12476.99,14568.67,"NA","NA","CT","Connecticut","connecticut"
"ObjectID","{""type"":""Buffer"",""data"":[92,155,230,38,17,220,119,0,20,220,147,100]}",,"DC","NA",63436.56,"NA",62485.85,"NA",61688.89,61342.38,62447.47,63256.66,"NA","NA",59702.93,"NA",59205,"NA",58978.5,"NA","NA","NA","NA","NA","NA","NA",56483.62,"NA",56290.26,"NA",56265.85,54198.65,52326.85,52249.39,"NA","NA",52464.35,"NA",53057.8,"NA",53862.7,"NA","NA","NA","NA","NA","NA","NA",50009.98,"NA",51077.76,"NA",46684.32,44572.25,42724.15,41968.59,"NA","NA","NA",54531.34,"NA",56552.35,"NA",53957.4,53966.22,54672.21,56107.39,"NA","NA","NA",72433.84,"NA",69616.38,"NA",70246.56,70795.77,73496.91,75599.32,"NA","NA","NA",68208.37,"NA",65610.28,"NA",61777.9,61177.51,62652.07,65021.43,"NA","NA","NA",55113.56,"NA",56735.5,"NA",58720.05,59781.64,61315.7,61884.41,"NA","NA","NA",40039.7,"NA",43083.13,"NA",45481.96,54326.59,56320.91,54280.29,"NA","NA","NA",57572.61,"NA",57067.03,"NA",55636.52,54613.08,55804.14,57637.82,"NA","NA","NA",75754.13,"NA",71136.23,"NA",68892.52,69709.23,71277.45,74190.44,"NA","NA","NA",0.8091922,"NA",0.7921505,"NA",0.7868418,0.7906166,0.7981378,"NA","NA","NA",0.795864,"NA",0.792995,"NA",0.7849221,"NA","NA","NA","NA","NA","NA","NA",0.7908863,"NA",0.7788292,"NA",0.7741666,0.7611224,0.7509042,"NA","NA","NA",0.7811641,"NA",0.7739241,"NA",0.7652907,"NA","NA","NA","NA","NA","NA","NA",0.7686034,"NA",0.7524573,"NA",0.7162192,0.6998344,0.682574,"NA","NA","NA","NA",17902.5,"NA",13064.03,"NA",16289.16,16829.55,18824.7,19491.93,"NA","NA","DC","District of Columbia","district_of_columbia"
"ObjectID","{""type"":""Buffer"",""data"":[92,155,230,38,17,220,119,0,20,220,147,101]}",,"DE","NA",48970.45,"NA",48829.04,"NA",46237.2,46455.23,46386.91,47736.86,"NA","NA",46820.18,"NA",46956.32,"NA",44472.24,"NA","NA","NA","NA","NA","NA","NA",44659.79,"NA",42665.13,"NA",41101.87,40670.05,41223.18,42324.23,"NA","NA",42130.66,"NA",40683.63,"NA",38630.84,"NA","NA","NA","NA","NA","NA","NA",38381.16,"NA",36693,"NA",34915.52,34614.9,35061.48,36437.1,"NA","NA","NA",43625.8,"NA",44602.43,"NA",42205.72,41839.48,40823.93,44977.32,"NA","NA","NA",56250.02,"NA",54249.29,"NA",51655.42,52732.12,53482,55256.16,"NA","NA","NA",53768.73,"NA",53372.4,"NA",49302.64,49843.64,49897.08,51344.84,"NA","NA","NA",38552.88,"NA",38842.04,"NA",38365.7,37390.04,36313.93,37802.58,"NA","NA","NA",26333,"NA",34657.62,"NA",30447.43,35613.52,35700.56,36343.8,"NA","NA","NA",43229.43,"NA",43704.06,"NA",41945.82,44309.2,44486.82,44853.84,"NA","NA","NA",60872.36,"NA",59424.61,"NA",55682.5,55771.84,56184.11,58684,"NA","NA","NA",0.7680118,"NA",0.7622818,"NA",0.7356152,0.7384236,0.738374,"NA","NA","NA",0.7583387,"NA",0.7577779,"NA",0.7271714,"NA","NA","NA","NA","NA","NA","NA",0.7496005,"NA",0.7208221,"NA",0.7001966,0.69821,0.7006432,"NA","NA","NA",0.7337263,"NA",0.7154893,"NA",0.6723827,"NA","NA","NA","NA","NA","NA","NA",0.6942269,"NA",0.6592667,"NA",0.627978,0.619897,0.6283738,"NA","NA","NA","NA",12624.22,"NA",9646.859,"NA",9449.695,10892.64,12658.07,10278.84,"NA","NA","DE","Delaware","delaware"
