,STATE,YEAR,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,4TH_ENROLLED,8TH_ENROLLED,TOTAL_ENROLLMENT,PRISONER_COUNT,STATE_POPULATION,VIOLENT_CRIME_TOTAL,PROPERTY_CRIME_TOTAL
0,ALABAMA,2001,"$5,086,045.00","$2,656,393.00","58,929","56,591","683,042","24,741","4,468,912","19,582","173,253"
1,ALABAMA,2002,"$5,147,821.00","$2,720,735.00","58,690","57,576","683,867","25,100","4,478,896","19,931","180,400"
2,ALABAMA,2003,"$5,298,932.00","$2,817,111.00","57,323","59,663","674,679","27,614","4,503,726","19,331","182,241"
3,ALABAMA,2004,"$5,450,269.00","$2,875,595.00","56,182","59,286","673,176","25,635","4,525,375","19,324","182,340"
4,ALABAMA,2005,"$5,904,664.00","$3,053,380.00","55,919","59,643","681,201","24,315","4,548,327","19,678","177,393"
5,ALABAMA,2006,"$6,591,429.00","$3,326,656.00","56,720","59,573","685,423","24,103","4,599,030","19,553","181,249"
6,ALABAMA,2007,"$7,196,459.00","$3,653,466.00","57,795","58,792","686,947","25,253","4,627,851","20,775","184,082"
7,ALABAMA,2008,"$7,847,387.00","$3,947,003.00","58,593","57,809","689,463","25,363","4,661,900","21,110","190,416"
8,ALABAMA,2009,"$7,815,467.00","$3,836,398.00","59,512","57,027","691,870","27,241","4,708,708","21,194","178,007"
9,ALABAMA,2010,"$7,647,571.00","$3,900,492.00","59,117","57,992","697,887","27,345","4,785,401","18,363","168,828"
10,ALABAMA,2011,"$7,411,768.00","$3,844,055.00","56,491","57,919","687,019","26,813","4,803,689","20,166","173,192"
11,ALABAMA,2012,"$7,222,161.00","$3,695,221.00","55,859","58,151","685,209","26,768","4,817,528","21,693","168,878"
12,ALABAMA,2013,"$7,487,741.00","$3,747,993.00","55,719","58,799","686,447","26,825","4,833,996","20,834","161,835"
13,ALABAMA,2014,"$7,587,737.00","$3,824,295.00","55,479","57,471","686,225","26,145","4,849,377","20,727","154,094"
14,ALABAMA,2015,"$7,501,799.00","$3,817,479.00","55,808","55,792","688,176","25,212","4,858,979","22,952","144,746"
15,ARIZONA,2001,"$5,858,385.00","$2,538,936.00","74,270","69,643","841,750","27,710","5,306,966","28,675","293,874"
16,ARIZONA,2002,"$6,018,188.00","$2,659,448.00","71,139","69,841","861,334","29,359","5,441,125","30,171","318,296"
17,ARIZONA,2003,"$6,210,287.00","$2,810,907.00","76,207","76,376","930,090","31,084","5,579,222","28,638","314,335"
18,ARIZONA,2004,"$6,731,212.00","$3,224,647.00","77,110","78,595","957,964","32,384","5,739,879","28,952","291,203"
19,ARIZONA,2005,"$7,136,794.00","$3,423,716.00","80,458","80,683","1,010,731","33,345","5,953,007","30,478","287,345"
20,ARIZONA,2006,"$7,934,177.00","$3,733,989.00","81,388","80,769","982,648","35,752","6,166,318","33,456","294,389"
21,ARIZONA,2007,"$8,709,531.00","$3,977,800.00","82,876","81,196","1,000,520","37,700","6,338,755","32,835","287,308"
22,ARIZONA,2008,"$9,581,201.00","$4,251,747.00","83,793","81,576","1,000,335","39,455","6,500,180","31,567","266,653"
23,ARIZONA,2009,"$9,580,393.00","$4,296,503.00","83,686","82,163","993,469","40,544","6,595,778","28,128","236,721"
24,ARIZONA,2010,"$8,812,967.00","$4,223,152.00","82,862","80,636","988,741","40,130","6,413,158","26,528","226,802"
