,STATE,YEAR,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,4TH_ENROLLED,8TH_ENROLLED,TOTAL_ENROLLMENT,4_AVG_MATH_SCORE,8_AVG_MATH_SCORE,4_AVG_RDG_SCORE,8_AVG_RDG_SCORE,PRISONER_COUNT,STATE_POPULATION,VIOLENT_CRIME_TOTAL,PROPERTY_CRIME_TOTAL,TOTAL_JAIL_ADM,ASIAN_JAIL_POP,BLACK_JAIL_POP,LATINO_JAIL_POP,NATIVE_JAIL_POP,WHITE_JAIL_POP,ASIAN_PRISON_POP,BLACK_PRISON_POP,LATINO_PRISON_POP,NATIVE_PRISON_POP,OTHER_PRISON_POP,WHITE_PRISON_POP
0,ALABAMA,2001,"$5,086,045.00","$2,656,393.00","58,929","56,591","683,042",nan,nan,nan,nan,"24,741","4,468,912","19,582","173,253",179700.0,0.16%,52.61%,1.72%,0.14%,40.86%,0.00%,63.21%,0.00%,0.00%,0.30%,36.48%
1,ALABAMA,2002,"$5,147,821.00","$2,720,735.00","58,690","57,576","683,867",nan,nan,nan,nan,"25,100","4,478,896","19,931","180,400",221681.0,0.30%,51.76%,2.29%,0.13%,44.11%,0.00%,62.23%,0.00%,0.00%,0.22%,37.55%
2,ALABAMA,2003,"$5,298,932.00","$2,817,111.00","57,323","59,663","674,679",223.34,261.94,207.08,261.87,"27,614","4,503,726","19,331","182,241",158972.0,0.22%,41.30%,5.26%,0.11%,48.42%,0.00%,53.03%,0.00%,0.00%,0.21%,46.75%
3,ALABAMA,2004,"$5,450,269.00","$2,875,595.00","56,182","59,286","673,176",nan,nan,nan,nan,"25,635","4,525,375","19,324","182,340",197394.0,0.30%,42.53%,4.03%,0.16%,47.21%,0.00%,54.82%,0.00%,0.00%,0.15%,45.02%
4,ALABAMA,2005,"$5,904,664.00","$3,053,380.00","55,919","59,643","681,201",225.07,262.21,207.75,273.05,"24,315","4,548,327","19,678","177,393",194139.0,0.28%,42.48%,3.46%,0.14%,48.29%,0.00%,53.18%,0.00%,0.00%,0.17%,46.65%
5,ALABAMA,2006,"$6,591,429.00","$3,326,656.00","56,720","59,573","685,423",nan,nan,nan,nan,"24,103","4,599,030","19,553","181,249",175578.0,0.28%,42.98%,5.79%,0.16%,48.13%,0.00%,54.11%,0.00%,0.00%,0.15%,45.74%
6,ALABAMA,2007,"$7,196,459.00","$3,653,466.00","57,795","58,792","686,947",228.52,266.00,216.39,265.64,"25,253","4,627,851","20,775","184,082",222003.0,0.33%,46.37%,6.23%,0.18%,45.35%,0.00%,59.88%,0.00%,0.00%,0.12%,40.00%
7,ALABAMA,2008,"$7,847,387.00","$3,947,003.00","58,593","57,809","689,463",nan,nan,nan,nan,"25,363","4,661,900","21,110","190,416",232316.0,0.32%,46.37%,3.92%,0.18%,46.63%,0.00%,60.43%,0.00%,0.00%,0.10%,39.47%
8,ALABAMA,2009,"$7,815,467.00","$3,836,398.00","59,512","57,027","691,870",227.96,268.52,216.27,267.58,"27,241","4,708,708","21,194","178,007",221134.0,0.32%,46.31%,4.81%,0.18%,46.78%,0.00%,59.81%,0.00%,0.00%,0.09%,40.09%
9,ALABAMA,2010,"$7,647,571.00","$3,900,492.00","59,117","57,992","697,887",nan,nan,nan,nan,"27,345","4,785,401","18,363","168,828",222290.0,0.32%,44.78%,3.23%,0.18%,46.37%,0.00%,58.95%,0.00%,0.00%,0.12%,40.92%
10,ALABAMA,2011,"$7,411,768.00","$3,844,055.00","56,491","57,919","687,019",231.29,269.10,220.27,257.38,"26,813","4,803,689","20,166","173,192",281440.0,0.33%,44.67%,3.08%,0.19%,47.55%,0.00%,57.97%,0.00%,0.00%,0.16%,41.88%
11,ALABAMA,2012,"$7,222,161.00","$3,695,221.00","55,859","58,151","685,209",nan,nan,nan,nan,"26,768","4,817,528","21,693","168,878",239664.0,0.23%,38.56%,3.27%,0.20%,45.78%,0.00%,57.33%,0.00%,0.00%,0.20%,42.47%
12,ALABAMA,2013,"$7,487,741.00","$3,747,993.00","55,719","58,799","686,447",232.86,269.19,218.58,269.53,"26,825","4,833,996","20,834","161,835",216079.0,0.12%,43.64%,3.98%,0.19%,44.23%,0.00%,57.33%,0.00%,0.00%,0.28%,42.39%
13,ALABAMA,2014,"$7,587,737.00","$3,824,295.00","55,479","57,471","686,225",nan,nan,nan,nan,"26,145","4,849,377","20,727","154,094",174348.0,0.22%,42.13%,4.16%,0.22%,51.07%,0.00%,57.07%,0.00%,0.00%,0.37%,42.55%
14,ALABAMA,2015,"$7,501,799.00","$3,817,479.00","55,808","55,792","688,176",230.98,266.56,217.05,269.02,"25,212","4,858,979","22,952","144,746",165239.0,0.19%,41.59%,4.33%,0.23%,49.42%,0.00%,56.37%,0.00%,0.00%,0.46%,43.18%
15,ARIZONA,2001,"$5,858,385.00","$2,538,936.00","74,270","69,643","841,750",nan,nan,nan,nan,"27,710","5,306,966","28,675","293,874",186845.0,0.46%,12.26%,35.75%,4.67%,47.30%,0.20%,15.86%,37.18%,4.68%,1.52%,40.56%
16,ARIZONA,2002,"$6,018,188.00","$2,659,448.00","71,139","69,841","861,334",nan,nan,nan,nan,"29,359","5,441,125","30,171","318,296",190452.0,0.48%,11.54%,35.38%,5.15%,47.66%,0.19%,14.80%,36.70%,4.41%,1.48%,42.41%
17,ARIZONA,2003,"$6,210,287.00","$2,810,907.00","76,207","76,376","930,090",228.91,271.18,208.87,267.81,"31,084","5,579,222","28,638","314,335",206119.0,0.47%,11.83%,37.79%,5.69%,47.78%,0.20%,14.39%,38.23%,4.90%,1.59%,40.69%
18,ARIZONA,2004,"$6,731,212.00","$3,224,647.00","77,110","78,595","957,964",nan,nan,nan,nan,"32,384","5,739,879","28,952","291,203",241603.0,0.55%,12.52%,37.78%,5.77%,48.49%,0.24%,13.88%,38.09%,4.99%,1.45%,41.35%
19,ARIZONA,2005,"$7,136,794.00","$3,423,716.00","80,458","80,683","1,010,731",229.80,274.31,207.14,264.95,"33,345","5,953,007","30,478","287,345",190113.0,0.48%,13.22%,40.04%,5.91%,45.67%,0.24%,14.35%,38.45%,5.03%,1.51%,40.41%
20,ARIZONA,2006,"$7,934,177.00","$3,733,989.00","81,388","80,769","982,648",nan,nan,nan,nan,"35,752","6,166,318","33,456","294,389",174922.0,0.46%,13.27%,37.26%,4.36%,40.05%,0.27%,15.03%,39.66%,4.18%,1.36%,39.49%
21,ARIZONA,2007,"$8,709,531.00","$3,977,800.00","82,876","81,196","1,000,520",231.94,275.55,209.52,254.80,"37,700","6,338,755","32,835","287,308",211236.0,0.50%,12.61%,43.41%,5.24%,43.36%,0.29%,14.09%,39.54%,4.84%,1.28%,39.97%
22,ARIZONA,2008,"$9,581,201.00","$4,251,747.00","83,793","81,576","1,000,335",nan,nan,nan,nan,"39,455","6,500,180","31,567","266,653",193454.0,0.61%,13.46%,41.59%,5.37%,40.83%,0.30%,14.65%,41.69%,4.79%,1.33%,37.24%
23,ARIZONA,2009,"$9,580,393.00","$4,296,503.00","83,686","82,163","993,469",229.99,277.33,209.99,267.17,"40,544","6,595,778","28,128","236,721",213458.0,0.55%,12.14%,36.65%,6.90%,39.27%,0.31%,14.25%,41.82%,4.80%,1.36%,37.46%
24,ARIZONA,2010,"$8,812,967.00","$4,223,152.00","82,862","80,636","988,741",nan,nan,nan,nan,"40,130","6,413,158","26,528","226,802",175690.0,0.59%,12.41%,35.94%,5.28%,40.65%,0.30%,14.36%,42.46%,4.30%,1.34%,37.24%
25,ARIZONA,2011,"$8,610,417.00","$3,977,772.00","82,566","81,294","995,665",235.16,279.03,212.40,270.97,"39,949","6,467,315","26,789","229,896",180160.0,0.85%,12.45%,40.33%,5.09%,42.66%,0.27%,14.09%,42.83%,4.22%,1.24%,37.35%
26,ARIZONA,2012,"$8,054,662.00","$3,917,564.00","83,892","82,769","1,002,920",nan,nan,nan,nan,"40,013","6,551,149","28,077","231,701",179036.0,0.70%,14.05%,37.67%,8.07%,45.48%,0.20%,14.60%,43.08%,4.60%,1.33%,36.19%
27,ARIZONA,2013,"$7,600,581.00","$3,824,071.00","84,282","83,849","1,015,927",240.30,279.72,213.13,257.43,"41,031","6,634,997","27,576","223,294",168134.0,0.51%,14.05%,35.96%,4.70%,39.63%,0.26%,14.47%,43.56%,4.39%,1.40%,35.93%
28,ARIZONA,2014,"$8,109,460.00","$3,902,565.00","85,535","84,596","1,028,214",nan,nan,nan,nan,"42,136","6,731,484","26,916","215,240",178259.0,0.67%,14.13%,34.86%,4.80%,45.88%,0.31%,14.13%,42.25%,4.22%,1.35%,37.74%
29,ARIZONA,2015,"$7,902,600.00","$3,846,357.00","86,594","84,084","1,029,470",237.61,282.92,215.31,260.32,"42,204","6,828,065","28,012","207,107",177576.0,0.44%,19.41%,23.34%,4.67%,43.47%,0.39%,14.06%,41.03%,4.28%,1.17%,39.06%
30,CALIFORNIA,2001,"$52,082,540.00","$26,641,811.00","485,301","461,133","5,717,489",nan,nan,nan,nan,"157,142","34,600,463","212,867","1,134,189",938170.0,1.97%,25.93%,40.27%,0.72%,30.24%,0.87%,31.87%,35.61%,0.84%,3.49%,27.13%
31,CALIFORNIA,2002,"$56,464,225.00","$28,593,157.00","491,510","473,553","5,833,345",nan,nan,nan,nan,"159,695","35,001,986","208,388","1,176,484",1003247.0,1.95%,25.76%,39.54%,0.82%,29.16%,0.86%,31.22%,36.13%,0.86%,3.51%,27.23%
32,CALIFORNIA,2003,"$59,749,885.00","$29,561,563.00","493,415","500,143","5,899,326",227.45,267.05,205.63,255.07,"161,785","35,462,712","205,551","1,215,086",1052556.0,2.18%,24.54%,39.86%,0.84%,29.17%,0.87%,30.40%,36.48%,0.88%,3.62%,27.55%
33,CALIFORNIA,2004,"$62,647,953.00","$29,624,968.00","488,045","498,806","5,932,350",nan,nan,nan,nan,"163,939","35,842,038","189,175","1,227,194",1145837.0,2.15%,24.82%,42.27%,0.71%,29.18%,0.85%,30.65%,37.14%,0.77%,3.81%,26.59%
34,CALIFORNIA,2005,"$66,196,072.00","$31,070,450.00","477,828","489,560","5,926,631",230.37,268.56,206.51,264.18,"168,035","36,154,147","190,178","1,200,531",1149246.0,2.56%,23.60%,43.99%,0.75%,30.50%,0.78%,29.71%,37.96%,0.77%,3.85%,26.74%
35,CALIFORNIA,2006,"$68,722,432.00","$32,387,671.00","470,542","491,871","5,944,746",nan,nan,nan,nan,"172,298","36,457,549","194,483","1,159,988",1101550.0,2.10%,23.90%,41.41%,0.70%,28.63%,0.76%,30.08%,38.39%,0.74%,4.01%,25.84%
36,CALIFORNIA,2007,"$73,225,422.00","$34,685,013.00","467,305","490,054","5,881,552",230.03,270.38,208.52,268.16,"171,444","36,553,215","191,561","1,112,510",1057422.0,2.22%,24.70%,42.57%,0.72%,27.64%,0.76%,30.32%,38.91%,0.76%,4.12%,24.94%
37,CALIFORNIA,2008,"$76,618,865.00","$36,542,347.00","463,904","486,390","5,854,465",nan,nan,nan,nan,"171,085","36,756,666","185,329","1,080,996",1120085.0,2.23%,24.85%,43.31%,0.77%,26.51%,0.75%,30.36%,39.27%,0.79%,4.23%,24.42%
38,CALIFORNIA,2009,"$74,766,086.00","$35,617,964.00","465,866","472,856","5,786,013",231.67,270.45,209.76,254.90,"168,830","36,961,664","174,934","1,009,433",1059872.0,2.05%,24.73%,44.70%,0.77%,25.91%,0.77%,30.16%,39.85%,0.78%,4.37%,23.90%
