,STATE,YEAR,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,4TH_ENROLLED,8TH_ENROLLED,TOTAL_ENROLLMENT,4_AVG_MATH_SCORE,8_AVG_MATH_SCORE,4_AVG_RDG_SCORE,8_AVG_RDG_SCORE
0,ALABAMA,2001,5086045.0,2656393.0,58929.0,56591.0,683042.0,,,,
1,ALABAMA,2002,5147821.0,2720735.0,58690.0,57576.0,683867.0,,,,
2,ALABAMA,2003,5298932.0,2817111.0,57323.0,59663.0,674679.0,223.3446426,261.9390222,207.0838476,261.8708721
3,ALABAMA,2004,5450269.0,2875595.0,56182.0,59286.0,673176.0,,,,
4,ALABAMA,2005,5904664.0,3053380.0,55919.0,59643.0,681201.0,225.0712362,262.2111,207.752033,273.04575719999997
5,ALABAMA,2006,6591429.0,3326656.0,56720.0,59573.0,685423.0,,,,
6,ALABAMA,2007,7196459.0,3653466.0,57795.0,58792.0,686947.0,228.52001800000002,266.0001099,216.3889539,265.6419817
7,ALABAMA,2008,7847387.0,3947003.0,58593.0,57809.0,689463.0,,,,
8,ALABAMA,2009,7815467.0,3836398.0,59512.0,57027.0,691870.0,227.96265040000003,268.52412030000005,216.27335589999998,267.5774737
9,ALABAMA,2010,7647571.0,3900492.0,59117.0,57992.0,697887.0,,,,
10,ALABAMA,2011,7411768.0,3844055.0,56491.0,57919.0,687019.0,231.28601899999998,269.0965158,220.2734133,257.3835093
11,ALABAMA,2012,7222161.0,3695221.0,55859.0,58151.0,685209.0,,,,
12,ALABAMA,2013,7487741.0,3747993.0,55719.0,58799.0,686447.0,232.86133250000003,269.1942806,218.5759534,269.5337264
13,ALABAMA,2014,7587737.0,3824295.0,55479.0,57471.0,686225.0,,,,
14,ALABAMA,2015,7501799.0,3817479.0,55808.0,55792.0,688176.0,230.9774227,266.5553185,217.04908980000002,269.02002819999996
15,ALABAMA,2016,7708845.0,3865453.0,,,,,,,
16,ALASKA,2001,1402839.0,701053.0,10718.0,10702.0,124254.0,,,,
17,ALASKA,2002,1523327.0,747223.0,10084.0,10840.0,124295.0,,,,
18,ALASKA,2003,1610289.0,763525.0,10115.0,11140.0,124458.0,232.9916543,279.02506989999995,211.54715359999997,268.77242060000003
19,ALASKA,2004,1647250.0,775069.0,9674.0,10857.0,123100.0,,,,
20,ALASKA,2005,1751718.0,829666.0,9495.0,10793.0,123354.0,235.51070550000003,278.9587094,211.06131859999996,266.8787375
21,ALASKA,2006,1817656.0,871434.0,9589.0,10155.0,122813.0,,,,
22,ALASKA,2007,1938755.0,927307.0,9420.0,9953.0,121404.0,237.2738932,282.55715410000005,214.4769544,266.91761710000003
23,ALASKA,2008,2274819.0,1113396.0,9756.0,9673.0,120918.0,,,,
24,ALASKA,2009,2396412.0,1129756.0,10046.0,9626.0,121857.0,237.21228430000002,283.0476628,211.12736830000003,256.1068616
25,ALASKA,2010,2371251.0,1151630.0,9917.0,9622.0,121984.0,,,,
26,ALASKA,2011,2443898.0,1215062.0,9667.0,9527.0,120714.0,236.359658,283.2727979,207.9236959,267.54299419999995
27,ALASKA,2012,2483320.0,1255757.0,9756.0,9806.0,120920.0,,,,
28,ALASKA,2013,2665933.0,1324649.0,9722.0,9677.0,120312.0,236.1220044,281.5595728,209.3472882,268.8033631
