,STATE,YEAR,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,4TH_ENROLLED,8TH_ENROLLED,TOTAL_ENROLLMENT,4_AVG_MATH_SCORE,8_AVG_MATH_SCORE,4_AVG_RDG_SCORE,8_AVG_RDG_SCORE,PRISONER_COUNT,STATE_POPULATION,VIOLENT_CRIME_TOTAL,PROPERTY_CRIME_TOTAL,TOTAL_JAIL_ADM,ASIAN_JAIL_POP,BLACK_JAIL_POP,LATINO_JAIL_POP,NATIVE_JAIL_POP,WHITE_JAIL_POP,ASIAN_PRISON_POP,BLACK_PRISON_POP,LATINO_PRISON_POP,NATIVE_PRISON_POP,OTHER_PRISON_POP,WHITE_PRISON_POP
0,ALABAMA,2001,5086045.0,2656393.0,58929.0,56591.0,683042.0,,,,,24741,4468912.0,19582.0,173253.0,179700.0,0.16439415917222705,52.60613093511266,1.7213035489797892,0.13538342520065758,40.85678367662702,0.0,63.212847644910575,0.0,0.0,0.3043356119486843,36.482816743140745
1,ALABAMA,2002,5147821.0,2720735.0,58690.0,57576.0,683867.0,,,,,25100,4478896.0,19931.0,180400.0,221681.0,0.2971216341689879,51.764159702878366,2.2934076137418753,0.12999071494893222,44.113277623026924,0.0,62.22922585227273,0.0,0.0,0.22194602272727273,37.548828125
2,ALABAMA,2003,5298932.0,2817111.0,57323.0,59663.0,674679.0,223.3446426,261.9390222,207.0838476,261.8708721,27614,4503726.0,19331.0,182241.0,158972.0,0.2244165170556553,41.30385996409336,5.262567324955117,0.11220825852782765,48.41786355475763,0.0,53.03493159782175,0.0,0.0,0.21251162172931334,46.75255678044893
3,ALABAMA,2004,5450269.0,2875595.0,56182.0,59286.0,673176.0,,,,,25635,4525375.0,19324.0,182340.0,197394.0,0.29768014781359065,42.527201806610556,4.034079244508314,0.1642373229316362,47.20796551016219,0.0,54.82269503546099,0.0,0.0,0.1536643026004728,45.023640661938536
4,ALABAMA,2005,5904664.0,3053380.0,55919.0,59643.0,681201.0,225.0712362,262.2111,207.752033,273.04575719999997,24315,4548327.0,19678.0,177393.0,194139.0,0.2781241008919152,42.47626354656181,3.462165531792462,0.14385729356478374,48.28809820657907,0.0,53.184792000987535,0.0,0.0,0.16664609307492903,46.64856190593754
5,ALABAMA,2006,6591429.0,3326656.0,56720.0,59573.0,685423.0,,,,,24103,4599030.0,19553.0,181249.0,175578.0,0.2813621810420103,42.98049869021054,5.792180071795867,0.1649364509556612,48.132337246531485,0.0,54.10779696493982,0.0,0.0,0.15117157974300832,45.74103145531717
6,ALABAMA,2007,7196459.0,3653466.0,57795.0,58792.0,686947.0,228.52001800000002,266.0001099,216.3889539,265.6419817,25253,4627851.0,20775.0,184082.0,222003.0,0.32723611344185266,46.36684007383789,6.225876824970633,0.18459473065950663,45.351569055210604,0.0,59.88122588755472,0.0,0.0,0.11704018379643677,40.00173392864884
7,ALABAMA,2008,7847387.0,3947003.0,58593.0,57809.0,689463.0,,,,,25363,4661900.0,21110.0,190416.0,232316.0,0.3163530175210902,46.37410772225827,3.9179104477611943,0.17845554834523036,46.633679428942244,0.0,60.43044971107947,0.0,0.0,0.10049409597186167,39.46905619294866
8,ALABAMA,2009,7815467.0,3836398.0,59512.0,57027.0,691870.0,227.96265040000003,268.52412030000005,216.27335589999998,267.5774737,27241,4708708.0,21194.0,178007.0,221134.0,0.31780546959939787,46.30760224136489,4.808898553148784,0.18399264029438822,46.784310445763985,0.0,59.81250770938695,0.0,0.0,0.0945684799144772,40.09292381069857
9,ALABAMA,2010,7647571.0,3900492.0,59117.0,57992.0,697887.0,,,,,27345,4785401.0,18363.0,168828.0,222290.0,0.3153808830664726,44.77599870612971,3.226589034449297,0.1779071648067281,46.36907650008087,0.0,58.95221646516984,0.0,0.0,0.1233654083395016,40.924418126490664
