,STATE,YEAR,PRISONER_COUNT,STATE_POPULATION,VIOLENT_CRIME_TOTAL,PROPERTY_CRIME_TOTAL
1,ALABAMA,2001,24741,4468912.0,19582.0,173253.0
2,ALASKA,2001,4570,633630.0,3735.0,23160.0
3,ARIZONA,2001,27710,5306966.0,28675.0,293874.0
4,ARKANSAS,2001,11489,2694698.0,12190.0,99106.0
5,CALIFORNIA,2001,157142,34600463.0,212867.0,1134189.0
6,COLORADO,2001,17278,4430989.0,15492.0,170887.0
7,CONNECTICUT,2001,17507,3434602.0,11492.0,95299.0
8,DELAWARE,2001,6841,796599.0,4868.0,27399.0
9,FLORIDA,2001,72404,16373330.0,130713.0,782517.0
10,GEORGIA,2001,45937,8405677.0,41671.0,347872.0
11,HAWAII,2001,5116,1227024.0,3117.0,62830.0
12,IDAHO,2001,5270,1320585.0,3211.0,38181.0
13,ILLINOIS,2001,44348,12520227.0,79270.0,434648.0
14,INDIANA,2001,19646,6126743.0,22734.0,211548.0
15,IOWA,2001,7962,2931967.0,7865.0,88634.0
16,KANSAS,2001,8574,2702125.0,10909.0,105537.0
17,KENTUCKY,2001,10720,4068816.0,10510.0,107356.0
18,LOUISIANA,2001,19660,4470368.0,30678.0,207693.0
19,MAINE,2001,1675,1284470.0,1435.0,33154.0
20,MARYLAND,2001,23739,5386079.0,42088.0,219512.0
21,MASSACHUSETTS,2001,10203,6401164.0,30585.0,167079.0
22,MICHIGAN,2001,48849,10006266.0,55424.0,352353.0
23,MINNESOTA,2001,6406,4984535.0,13145.0,165046.0
24,MISSISSIPPI,2001,15131,2859733.0,10006.0,109609.0
25,MISSOURI,2001,28575,5637309.0,30472.0,238411.0
26,MONTANA,2001,2795,905382.0,3187.0,30175.0
27,NEBRASKA,2001,3915,1720039.0,5214.0,68963.0
28,NEVADA,2001,9862,2097722.0,12359.0,77486.0
29,NEW HAMPSHIRE,2001,2419,1259359.0,2144.0,27089.0
30,NEW JERSEY,2001,26052,8511116.0,33094.0,240551.0
31,NEW MEXICO,2001,5668,1830935.0,14288.0,83095.0
32,NEW YORK,2001,67554,19084350.0,98022.0,458003.0
33,NORTH CAROLINA,2001,32203,8206105.0,40465.0,363777.0
34,NORTH DAKOTA,2001,1088,636550.0,505.0,14834.0
35,OHIO,2001,44868,11389785.0,40023.0,435115.0
36,OKLAHOMA,2001,21719,3469577.0,17726.0,141679.0
37,OREGON,2001,10950,3473441.0,10650.0,164524.0
38,PENNSYLVANIA,2001,37641,12303104.0,50432.0,313408.0
39,RHODE ISLAND,2001,3364,1059659.0,3278.0,35742.0
40,SOUTH CAROLINA,2001,21719,4062125.0,33114.0,186054.0
41,SOUTH DAKOTA,2001,2799,758324.0,1171.0,16473.0
42,TENNESSEE,2001,17466,5749398.0,42776.0,252992.0
43,TEXAS,2001,148480,21370983.0,122155.0,976654.0
44,UTAH,2001,4145,2278712.0,5314.0,90993.0
45,VERMONT,2001,1400,612978.0,644.0,16334.0
46,VIRGINIA,2001,31472,7196750.0,20939.0,207506.0
47,WASHINGTON,2001,15226,5993390.0,21258.0,287234.0
48,WEST VIRGINIA,2001,3403,1800975.0,5035.0,41085.0
49,WISCONSIN,2001,20766,5405947.0,12486.0,166924.0
50,WYOMING,2001,1487,493754.0,1272.0,16120.0
52,ALABAMA,2002,25100,4478896.0,19931.0,180400.0
53,ALASKA,2002,4351,641482.0,3627.0,24118.0
54,ARIZONA,2002,29359,5441125.0,30171.0,318296.0
55,ARKANSAS,2002,11849,2706268.0,11501.0,101171.0
56,CALIFORNIA,2002,159695,35001986.0,208388.0,1176484.0
57,COLORADO,2002,18636,4501051.0,15882.0,180054.0
58,CONNECTICUT,2002,18716,3458587.0,10807.0,93426.0
59,DELAWARE,2002,6637,805945.0,4836.0,26967.0
60,FLORIDA,2002,75210,16691701.0,128721.0,777236.0
61,GEORGIA,2002,47445,8544005.0,39271.0,346559.0
62,HAWAII,2002,5069,1240663.0,3262.0,71976.0
63,IDAHO,2002,5451,1343124.0,3419.0,39128.0
64,ILLINOIS,2002,42693,12586447.0,75759.0,430479.0
65,INDIANA,2002,20349,6156913.0,22001.0,208965.0
66,IOWA,2002,8398,2935840.0,8388.0,92877.0
67,KANSAS,2002,8967,2711769.0,10229.0,100768.0
68,KENTUCKY,2002,11583,4089822.0,11101.0,108590.0
69,LOUISIANA,2002,20010,4476192.0,29690.0,198838.0
70,MAINE,2002,1855,1294894.0,1396.0,32985.0
71,MARYLAND,2002,24114,5450525.0,42015.0,217105.0
72,MASSACHUSETTS,2002,9879,6421800.0,31137.0,167753.0
73,MICHIGAN,2002,50591,10043221.0,54306.0,335060.0
74,MINNESOTA,2002,6855,5024791.0,13428.0,164026.0
75,MISSISSIPPI,2002,15355,2866733.0,9858.0,109584.0
76,MISSOURI,2002,29795,5669544.0,30557.0,230520.0
77,MONTANA,2002,2870,910372.0,3197.0,28751.0
78,NEBRASKA,2002,4048,1727564.0,5428.0,68178.0
79,NEVADA,2002,10101,2167455.0,13856.0,83896.0
80,NEW HAMPSHIRE,2002,2475,1274405.0,2056.0,26250.0
81,NEW JERSEY,2002,26301,8575252.0,32252.0,227715.0
82,NEW MEXICO,2002,5991,1852044.0,13719.0,80477.0
83,NEW YORK,2002,66925,19134293.0,95030.0,442091.0
84,NORTH CAROLINA,2002,32918,8305820.0,39118.0,353708.0
85,NORTH DAKOTA,2002,1117,633911.0,496.0,14762.0
86,OHIO,2002,45284,11408699.0,40128.0,428976.0
87,OKLAHOMA,2002,21996,3489700.0,17587.0,148128.0
88,OREGON,2002,11650,3520355.0,10298.0,161145.0
